array_id,scenario,design,sim_id,n_total_enrolled,n_possible_enrolled,estMTD,estMTDCode,trueMTD,RP2D,RP2DCode,RP2DAcceptable,bestP2D,estEff_at_estMTD,num_at_estMTD
78,8,3pl3:Bayes:DEC:Bayes,155,12,12,1,1Y,2,0,1EN,0,2,0.0142857142857143,6
78,8,3pl3:Bayes:DEC:Bayes,156,9,9,1,1Y,2,1,1Y,0,2,0.3,6
78,8,3pl3:Bayes:DEC:Bayes,157,12,12,1,1Y,2,1,1Y,0,2,0.157142857142857,6
78,8,3pl3:Bayes:DEC:Bayes,158,12,12,1,1Y,2,0,1EN,0,2,0.0142857142857143,6
78,8,3pl3:Bayes:DEC:Bayes,159,21,21,4,1Y,2,4,1Y,0,2,0.3,6
78,8,3pl3:Bayes:DEC:Bayes,160,18,18,2,1Y,2,2,1Y,1,2,0.3,6
78,8,3pl3:Bayes:DEC:Bayes,161,15,15,2,1Y,2,2,1Y,1,2,0.442857142857143,6
78,8,3pl3:Bayes:DEC:Bayes,162,9,9,1,1Y,2,1,1Y,0,2,0.157142857142857,6
78,8,3pl3:Bayes:DEC:Bayes,163,9,9,1,1Y,2,1,1Y,0,2,0.3,6
78,8,3pl3:Bayes:DEC:Bayes,164,15,15,2,1Y,2,2,1Y,1,2,0.585714285714286,6
78,8,3pl3:Bayes:DEC:Bayes,165,21,21,3,1Y,2,3,1Y,0,2,0.3,6
78,8,3pl3:Bayes:DEC:Bayes,166,3,3,0,1N,2,0,1TN,0,2,NA,0
78,8,3pl3:Bayes:DEC:Bayes,167,15,15,3,1Y,2,3,1Y,0,2,0.3,6
78,8,3pl3:Bayes:DEC:Bayes,168,15,15,2,1Y,2,2,1Y,1,2,0.585714285714286,6
78,8,3pl3:Bayes:DEC:Bayes,169,3,3,0,1N,2,0,1TN,0,2,NA,0
78,8,3pl3:Bayes:DEC:Bayes,170,15,15,3,1Y,2,3,1Y,0,2,0.3,6
78,8,3pl3:Bayes:DEC:Bayes,171,15,15,2,1Y,2,2,1Y,1,2,0.442857142857143,6
78,8,3pl3:Bayes:DEC:Bayes,172,18,18,3,1Y,2,3,1Y,0,2,0.442857142857143,6
78,8,3pl3:Bayes:DEC:Bayes,173,15,15,1,1Y,2,1,1Y,0,2,0.157142857142857,6
78,8,3pl3:Bayes:DEC:Bayes,174,12,12,2,1Y,2,2,1Y,1,2,0.442857142857143,6
78,8,3pl3:Bayes:DEC:Bayes,175,12,12,1,1Y,2,0,1EN,0,2,0.0142857142857143,6
78,8,3pl3:Bayes:DEC:Bayes,176,12,12,2,1Y,2,2,1Y,1,2,0.3,6
78,8,3pl3:none:DEC:Bayes,155,12,12,1,1Y,2,1,1Y,0,2,NA,6
78,8,3pl3:none:DEC:Bayes,156,9,9,1,1Y,2,1,1Y,0,2,NA,6
78,8,3pl3:none:DEC:Bayes,157,12,12,1,1Y,2,1,1Y,0,2,NA,6
78,8,3pl3:none:DEC:Bayes,158,12,12,1,1Y,2,1,1Y,0,2,NA,6
78,8,3pl3:none:DEC:Bayes,159,21,21,4,1Y,2,4,1Y,0,2,NA,6
78,8,3pl3:none:DEC:Bayes,160,18,18,2,1Y,2,2,1Y,1,2,NA,6
78,8,3pl3:none:DEC:Bayes,161,15,15,2,1Y,2,2,1Y,1,2,NA,6
78,8,3pl3:none:DEC:Bayes,162,9,9,1,1Y,2,1,1Y,0,2,NA,6
78,8,3pl3:none:DEC:Bayes,163,9,9,1,1Y,2,1,1Y,0,2,NA,6
